haul_id,ager_id,ager_name,date_aged,shell_source,shell_num,shell_height,tot_annuli,code_let,code_num,annulus,annulus_height
DS03040924200308100004,1,Charlette Fullinck,,R,3,137,10,,,,
DS03040924200308100004,1,Charlette Fullinck,,R,13,124,6,,,,
DS03040924200308100005,1,Charlette Fullinck,,R,3,126,6,,,2,56
DS03040924200308100005,1,Charlette Fullinck,,R,3,126,6,,,3,88
DS03040924200308100005,1,Charlette Fullinck,,R,3,126,6,,,4,105
DS03040924200308100005,1,Charlette Fullinck,,R,3,126,6,,,5,114
DS03040924200308100005,1,Charlette Fullinck,,R,3,126,6,,,6,124
DS03040924200308100005,1,Charlette Fullinck,,R,13,130,7,,,,
DS03040924200308100008,1,Charlette Fullinck,,R,3,116,5,,,,
DS03040924200308100008,1,Charlette Fullinck,,R,13,119,7,,,,
DS03040924200308110018,1,Charlette Fullinck,,R,2,140,9,,,,
DS03040924200308110018,1,Charlette Fullinck,,R,12,119,5,,,,
DS03040924200308110020,1,Charlette Fullinck,,R,2,129,7,,,,
DS03040924200308110020,1,Charlette Fullinck,,R,12,130,8,A,,2,53
DS03040924200308110020,1,Charlette Fullinck,,R,12,130,8,A,,3,83
DS03040924200308110020,1,Charlette Fullinck,,R,12,130,8,A,,4,96
DS03040924200308110020,1,Charlette Fullinck,,R,12,130,8,A,,5,106
DS03040924200308110020,1,Charlette Fullinck,,R,12,130,8,A,,6,115
DS03040924200308110020,1,Charlette Fullinck,,R,12,130,8,A,,7,121
DS03040924200308110020,1,Charlette Fullinck,,R,12,130,8,A,,8,127
DS03040924200308110021,1,Charlette Fullinck,,R,2,141,11,,,,
DS03040924200308110021,1,Charlette Fullinck,,R,12,131,8,C,1,,
DS03040924200308110024,1,Charlette Fullinck,,R,2,140,10,,,,
DS03040924200308110024,1,Charlette Fullinck,,R,12,125,5,,,,
DS03040924200308110025,1,Charlette Fullinck,,R,2,147,13,,,,
DS03040924200308110025,1,Charlette Fullinck,,R,12,134,8,C,1,,
DS03040924200308120038,1,Charlette Fullinck,,R,5,127,6,,,2,54
DS03040924200308120038,1,Charlette Fullinck,,R,5,127,6,,,3,90
DS03040924200308120038,1,Charlette Fullinck,,R,5,127,6,,,4,108
DS03040924200308120038,1,Charlette Fullinck,,R,5,127,6,,,5,116
DS03040924200308120038,1,Charlette Fullinck,,R,5,127,6,,,6,125
DS03040924200308120038,1,Charlette Fullinck,,R,15,121,6,,,,
DS03040924200308120039,1,Charlette Fullinck,,R,5,128,7,,,3,81
DS03040924200308120039,1,Charlette Fullinck,,R,5,128,7,,,4,103
DS03040924200308120039,1,Charlette Fullinck,,R,5,128,7,,,5,112
DS03040924200308120039,1,Charlette Fullinck,,R,5,128,7,,,6,118
DS03040924200308120039,1,Charlette Fullinck,,R,5,128,7,,,7,124
DS03040924200308120039,1,Charlette Fullinck,,R,15,129,7,,,,
DS03040924200308120046,1,Charlette Fullinck,,R,5,140,11,,,,
DS03040924200308120046,1,Charlette Fullinck,,R,15,127,7,,,,
DS03040924200308120047,1,Charlette Fullinck,,R,5,128,8,,,,
DS03040924200308120047,1,Charlette Fullinck,,R,15,130,7,,,,
DS03040924200308120048,1,Charlette Fullinck,,R,5,113,5,,,,
DS03040924200308120048,1,Charlette Fullinck,,R,15,126,6,,,2,54
DS03040924200308120048,1,Charlette Fullinck,,R,15,126,6,,,3,89
DS03040924200308120048,1,Charlette Fullinck,,R,15,126,6,,,4,107
DS03040924200308120048,1,Charlette Fullinck,,R,15,126,6,,,5,115
DS03040924200308120048,1,Charlette Fullinck,,R,15,126,6,,,6,121
DS03040924200308130060,1,Charlette Fullinck,,R,8,125,7,,,,
DS03040924200308130060,1,Charlette Fullinck,,R,18,129,7,,,,
DS03040924200308130061,1,Charlette Fullinck,,R,8,128,7,,,,
DS03040924200308130061,1,Charlette Fullinck,,R,18,126,8,C,1,,
DS03040924200308130063,1,Charlette Fullinck,,R,8,122,7,,,,
DS03040924200308130063,1,Charlette Fullinck,,R,18,120,7,,,,
DS03040924200308130064,1,Charlette Fullinck,,R,8,109,4,,,2,56
DS03040924200308130064,1,Charlette Fullinck,,R,8,109,4,,,3,87
DS03040924200308130064,1,Charlette Fullinck,,R,8,109,4,,,4,103
DS03040924200308130064,1,Charlette Fullinck,,R,18,110,5,,,,
DS03040924200308130067,1,Charlette Fullinck,,R,8,147,10,,,,
DS03040924200308130067,1,Charlette Fullinck,,R,18,113,5,,,1,20
DS03040924200308130067,1,Charlette Fullinck,,R,18,113,5,,,2,44
DS03040924200308130067,1,Charlette Fullinck,,R,18,113,5,,,3,73
