trip_id,haul_id,ager_name,fishery,season,district,adfg,packetnum,set_date,shell_source,haul,shell_num,tot_annuli,code_let,code_num,shell_height,a1,a2
DS15040924004691,DS15040924201508130012,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,12,8,5,,,123.67,21.94,
DS15040924004691,DS15040924201508130012,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,12,18,13,,,135.75,22.22,
DS15040924004691,DS15040924201508130014,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,14,1,6,,,134.04,14.04,
DS15040924004691,DS15040924201508130014,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,14,10,14,,,149.35,16.8,
DS15040924004691,DS15040924201508130017,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,17,9,6,,,124.62,15.08,
DS15040924004691,DS15040924201508130017,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,17,17,16,,,142.9,22.67,
DS15040924004691,DS15040924201508130020,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,20,2,13,,,143.63,20.37,
DS15040924004691,DS15040924201508130020,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,20,11,12,,,135.16,19.64,
DS15040924004691,DS15040924201508130023,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,23,5,14,,,146.51,18.1,
DS15040924004691,DS15040924201508130023,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/13/2015,R,23,15,12,,,138.22,14.06,
DS15040924004691,DS15040924201508140034,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,34,11,10,,,129.62,16.57,
DS15040924004691,DS15040924201508140034,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,34,13,12,,,128.72,17.88,
DS15040924004691,DS15040924201508140037,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,37,4,15,,,135.03,17.87,
DS15040924004691,DS15040924201508140037,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,37,14,14,,,143.07,16.12,
DS15040924004691,DS15040924201508140039,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,39,12,15,,,139.44,16.74,
DS15040924004691,DS15040924201508140039,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,39,15,11,,,127.05,19.04,
DS15040924004691,DS15040924201508140041,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,41,8,14,,,137.64,12.62,
DS15040924004691,DS15040924201508140041,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,41,11,17,,,141.07,14.22,
DS15040924004691,DS15040924201508140043,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,43,2,13,,,123.76,15.42,
DS15040924004691,DS15040924201508140043,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/14/2015,R,43,8,5,,,106.23,18.62,
DS15040924004691,DS15040924201508150053,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/15/2015,R,53,2,19,,,150.06,15.06,
DS15040924004691,DS15040924201508150053,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/15/2015,R,53,15,15,,,139.14,17.69,
DS15040924004691,DS15040924201508150055,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/15/2015,R,55,3,14,,,133.37,15.03,
DS15040924004691,DS15040924201508150055,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/15/2015,R,55,11,6,,,116.74,15.87,
DS15040924004691,DS15040924201508150058,Carla Milburn,DS15,2015/16,YAK,40924,4691,8/15/2015,R,58,7,6,,,118.11,17.16,
