Fishery,ADFG,Haul_ID,Set_Date,District,RACE_Code,Species_Name,Weight(lbs)
"DS16",303,"DS16000303201607310009","07-31-2016","YAK",10120,"Pacific halibut",2.57
"DS16",303,"DS16000303201607310009","07-31-2016","YAK",74120,"weathervane scallop",359.00
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",0,"Debris - man-made",1
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",402,"Bathyraja sp. egg case",4
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",10110,"arrowtooth flounder",2
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",10130,"flathead sole",4
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",69060,"Aleutian hermit crab",2
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",72500,"hairy triton (or Oregon triton)",1
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",74120,"weathervane scallop",414.00
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",80160,"sunflower sea star",2
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",80602,"Swift's sea star",1
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",80810,"leafy flat star",1
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",81780,"common mud star",1
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",83320,"notched brittlestar",5
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",99993,"empty bivalve shells",23
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",99994,"empty gastropod shells",1
"DS16",303,"DS16000303201607310011","07-31-2016","YAK",99999,"Debris - natural",13
"DS16",303,"DS16000303201607310013","07-31-2016","YAK",74120,"weathervane scallop",453.00
"DS16",303,"DS16000303201607310015","07-31-2016","YAK",74120,"weathervane scallop",316.00
"DS16",303,"DS16000303201608010032","08-01-2016","YAK",74120,"weathervane scallop",535.00
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",402,"Bathyraja sp. egg case",6
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",440,"longnose skate",16
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",472,"Aleutian skate",5
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",10110,"arrowtooth flounder",8
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",10130,"flathead sole",3
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",10170,"English sole",1
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",69060,"Aleutian hermit crab",1
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",74120,"weathervane scallop",572.00
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",80660,"scarlet sea star",1
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",81780,"common mud star",1
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",83320,"notched brittlestar",1
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",99993,"empty bivalve shells",30
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",99994,"empty gastropod shells",1
"DS16",303,"DS16000303201608010034","08-01-2016","YAK",99999,"Debris - natural",2
"DS16",303,"DS16000303201608010036","08-01-2016","YAK",74120,"weathervane scallop",454.00
"DS16",303,"DS16000303201608010038","08-01-2016","YAK",74120,"weathervane scallop",587.67
"DS16",303,"DS16000303201608010040","08-01-2016","YAK",74120,"weathervane scallop",545.00
"DS16",303,"DS16000303201608020053","08-02-2016","YAK",74120,"weathervane scallop",362.00
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",402,"Bathyraja sp. egg case",1
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",435,"Bering skate",3
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",10110,"arrowtooth flounder",3
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",10130,"flathead sole",1
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",74120,"weathervane scallop",175.33
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",80660,"scarlet sea star",1
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",81780,"common mud star",1
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",99993,"empty bivalve shells",32
"DS16",303,"DS16000303201608020055","08-02-2016","YAK",99999,"Debris - natural",5
"DS16",303,"DS16000303201608030073","08-03-2016","YAK",74120,"weathervane scallop",749.00
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",402,"Bathyraja sp. egg case",1
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",420,"big skate",40
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",421,"big skate egg case",1
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",472,"Aleutian skate",7
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",10110,"arrowtooth flounder",10
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",10170,"English sole",2
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",10180,"Dover sole",113
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",21720,"Pacific cod",3
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",42000,"sea pen or sea whip unident.",5
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",50192,"bristle worm",1
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",69060,"Aleutian hermit crab",1
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",74120,"weathervane scallop",480.67
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",80810,"leafy flat star",5
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",83320,"notched brittlestar",1
"DS16",303,"DS16000303201608030075","08-03-2016","YAK",99999,"Debris - natural",81
"DS16",303,"DS16000303201608030079","08-03-2016","YAK",10120,"Pacific halibut",3.13
"DS16",303,"DS16000303201608030079","08-03-2016","YAK",74120,"weathervane scallop",534.00
"DS16",303,"DS16000303201608030081","08-03-2016","YAK",74120,"weathervane scallop",510.00
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",402,"Bathyraja sp. egg case",2
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",420,"big skate",23
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",10110,"arrowtooth flounder",3
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",10200,"rex sole",4
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",50192,"bristle worm",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",54030,"hermit worm",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",68040,"pygmy cancer crab",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",68578,"Pacific lyre crab",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",69060,"Aleutian hermit crab",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",71777,"Beringius sp. eggs",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",74120,"weathervane scallop",336.33
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",80810,"leafy flat star",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",83320,"notched brittlestar",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",99993,"empty bivalve shells",19
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",99994,"empty gastropod shells",1
"DS16",303,"DS16000303201608040094","08-04-2016","YAK",99999,"Debris - natural",26
"DS16",303,"DS16000303201608040096","08-04-2016","YAK",74120,"weathervane scallop",907.00
"DS16",303,"DS16000303201608040098","08-04-2016","YAK",74120,"weathervane scallop",101.00
"DS16",303,"DS16000303201608040100","08-04-2016","YAK",74120,"weathervane scallop",718.00
"DS16",303,"DS16000303201608040102","08-04-2016","YAK",74120,"weathervane scallop",715.33
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",310,"spiny dogfish shark",1
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",402,"Bathyraja sp. egg case",1
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",420,"big skate",1
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",435,"Bering skate",1
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",10200,"rex sole",2
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",21935,"kelp greenling",3
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",54030,"hermit worm",1
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",69090,"Alaskan hermit crab",1
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",71820,"Pribilof whelk",1
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",74120,"weathervane scallop",422.67
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",80810,"leafy flat star",2
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",99993,"empty bivalve shells",16
"DS16",303,"DS16000303201608050116","08-05-2016","YAK",99999,"Debris - natural",36
"DS16",303,"DS16000303201608050118","08-05-2016","YAK",74120,"weathervane scallop",627.33
"DS16",303,"DS16000303201608050122","08-05-2016","YAK",74120,"weathervane scallop",459.67
"DS16",303,"DS16000303201608050124","08-05-2016","YAK",74120,"weathervane scallop",549.00
"DS16",303,"DS16000303201608060136","08-06-2016","YAK",74120,"weathervane scallop",326.00
