Fishery,ADFG,Haul_ID,Set_Date,District,RACE_Code,Species_Name,Weight(lbs)
"DS12",40924,"DS12040924201208120312","08-12-2012","D16",74120,"weathervane scallop",224.00
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",402,"Bathyraja sp. egg case",1
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",421,"big skate egg case",179
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",435,"Bering skate",1
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",441,"longnose skate egg case",1
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",10110,"arrowtooth flounder",4
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",21356,"roughspine sculpin",1
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",66031,"pink shrimp (or northern shrimp)",1
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",68560,"Tanner crab",1
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",74120,"weathervane scallop",222.00
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",80160,"sunflower sea star",18
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",80660,"scarlet sea star",1
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",80810,"leafy flat star",5
"DS12",40924,"DS12040924201208130335","08-13-2012","D16",99993,"empty bivalve shells",2
"DS12",40924,"DS12040924201208130337","08-13-2012","D16",74120,"weathervane scallop",141.00
"DS12",40924,"DS12040924201208130342","08-13-2012","D16",74120,"weathervane scallop",76.00
"DS12",40924,"DS12040924201208140361","08-14-2012","D16",74120,"weathervane scallop",507.67
"DS12",40924,"DS12040924201208140362","08-14-2012","D16",0,"Debris - man-made",1
"DS12",40924,"DS12040924201208140362","08-14-2012","D16",421,"big skate egg case",17
"DS12",40924,"DS12040924201208140362","08-14-2012","D16",435,"Bering skate",5
"DS12",40924,"DS12040924201208140362","08-14-2012","D16",440,"longnose skate",1
"DS12",40924,"DS12040924201208140362","08-14-2012","D16",441,"longnose skate egg case",1
"DS12",40924,"DS12040924201208140362","08-14-2012","D16",10110,"arrowtooth flounder",5
