Fishery,ADFG,Haul_ID,Set_Date,District,RACE_Code,Species_Name,Weight(lbs)
"DS09",32554,"DS09032554200907230368","07-23-2009","D16",74120,"weathervane scallop",672.33
"DS09",32554,"DS09032554200907230370","07-23-2009","D16",74120,"weathervane scallop",334.00
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",310,"spiny dogfish shark",5
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",440,"longnose skate",10
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",10110,"arrowtooth flounder",18
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",10130,"flathead sole",4
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",10150,"slender sole",1
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",10170,"English sole",2
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",10200,"rex sole",2
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",20040,"sturgeon poacher",1
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",23850,"whitebarred prickleback",1
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",43000,"sea anemone unident.",3
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",50192,"bristle worm",1
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",69090,"Alaskan hermit crab",1
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",74120,"weathervane scallop",567.00
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",80160,"sunflower sea star",56
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",80710,"vermilion sea star",1
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",80810,"leafy flat star",2
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",83320,"notched brittlestar",1
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",99993,"empty bivalve shells",12
"DS09",32554,"DS09032554200907240383","07-24-2009","D16",99999,"Debris - natural",1
"DS09",32554,"DS09032554200907010003","07-01-2009","YAK",74120,"weathervane scallop",443.00
"DS09",32554,"DS09032554200907010009","07-01-2009","YAK",74120,"weathervane scallop",588.00
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",402,"Bathyraja sp. egg case",1
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",10110,"arrowtooth flounder",4
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",10250,"sand sole",3
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",10270,"butter sole",5
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",43000,"sea anemone unident.",4
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",50192,"bristle worm",1
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",74120,"weathervane scallop",426.00
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",80015,"mottled sea star",1
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",80160,"sunflower sea star",30
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",80810,"leafy flat star",3
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",83320,"notched brittlestar",1
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",83400,"ubiquitous brittle star",1
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",99993,"empty bivalve shells",29
"DS09",32554,"DS09032554200907010011","07-01-2009","YAK",99999,"Debris - natural",2
"DS09",32554,"DS09032554200907020022","07-02-2009","YAK",74120,"weathervane scallop",357.00
"DS09",32554,"DS09032554200907020023","07-02-2009","YAK",74120,"weathervane scallop",977.67
"DS09",32554,"DS09032554200907020028","07-02-2009","YAK",74120,"weathervane scallop",405.00
"DS09",32554,"DS09032554200907020030","07-02-2009","YAK",74120,"weathervane scallop",1248.67
"DS09",32554,"DS09032554200907050056","07-05-2009","YAK",74120,"weathervane scallop",467.33
"DS09",32554,"DS09032554200907050058","07-05-2009","YAK",74120,"weathervane scallop",1155.00
"DS09",32554,"DS09032554200907050067","07-05-2009","YAK",74120,"weathervane scallop",722.00
"DS09",32554,"DS09032554200907050068","07-05-2009","YAK",74120,"weathervane scallop",1471.33
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",402,"Bathyraja sp. egg case",5
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",10110,"arrowtooth flounder",13
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",10130,"flathead sole",3
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",10270,"butter sole",3
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",23850,"whitebarred prickleback",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",50192,"bristle worm",2
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",68560,"Tanner crab",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",69060,"Aleutian hermit crab",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",69070,"knobbyhand hermit crab",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",69090,"Alaskan hermit crab",2
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",69110,"widehand hermit crab",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",71535,"Aleutian moonsnail",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",74120,"weathervane scallop",495.00
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",75016,"milky venus",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",80160,"sunflower sea star",19
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",80810,"leafy flat star",2
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",83320,"notched brittlestar",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",99993,"empty bivalve shells",18
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",99994,"empty gastropod shells",1
"DS09",32554,"DS09032554200907060086","07-06-2009","YAK",99999,"Debris - natural",3
"DS09",32554,"DS09032554200907090147","07-09-2009","YAK",74120,"weathervane scallop",254.00
"DS09",32554,"DS09032554200907090151","07-09-2009","YAK",74120,"weathervane scallop",567.00
"DS09",32554,"DS09032554200907100171","07-10-2009","YAK",74120,"weathervane scallop",851.00
"DS09",32554,"DS09032554200907100173","07-10-2009","YAK",74120,"weathervane scallop",598.00
"DS09",32554,"DS09032554200907100174","07-10-2009","YAK",74120,"weathervane scallop",1455.33
"DS09",32554,"DS09032554200907110192","07-11-2009","YAK",74120,"weathervane scallop",682.00
"DS09",32554,"DS09032554200907110194","07-11-2009","YAK",402,"Bathyraja sp. egg case",2
"DS09",32554,"DS09032554200907110194","07-11-2009","YAK",420,"big skate",8
"DS09",32554,"DS09032554200907110194","07-11-2009","YAK",421,"big skate egg case",4
"DS09",32554,"DS09032554200907110194","07-11-2009","YAK",471,"Alaska skate",4
"DS09",32554,"DS09032554200907110194","07-11-2009","YAK",472,"Aleutian skate",3
"DS09",32554,"DS09032554200907110194","07-11-2009","YAK",10110,"arrowtooth flounder",6
"DS09",32554,"DS09032554200907110194","07-11-2009","YAK",10180,"Dover sole",2
