Fishery,ADFG,Haul_ID,Set_Date,District,RACE_Code,Species_Name,Weight(lbs)
"DS10",32554,"DS10032554201008100011","08-10-2010","YAK",74120,"weathervane scallop",83.00
"DS10",32554,"DS10032554201008100014","08-10-2010","YAK",74120,"weathervane scallop",335.00
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",441,"longnose skate egg case",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",471,"Alaska skate",21
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",10130,"flathead sole",5
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",10180,"Dover sole",32
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",21720,"Pacific cod",6
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",42008,"Halipteris sp.",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",50192,"bristle worm",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",65100,"barnacle unident.",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",69090,"Alaskan hermit crab",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",80160,"sunflower sea star",10
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",80810,"leafy flat star",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",81780,"common mud star",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",83320,"notched brittlestar",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",99993,"empty bivalve shells",4
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",99994,"empty gastropod shells",1
"DS10",32554,"DS10032554201008100017","08-10-2010","YAK",99999,"Debris - natural",1
"DS10",32554,"DS10032554201008100019","08-10-2010","YAK",74120,"weathervane scallop",808.00
"DS10",32554,"DS10032554201008100021","08-10-2010","YAK",74120,"weathervane scallop",739.00
"DS10",32554,"DS10032554201008110035","08-11-2010","YAK",74120,"weathervane scallop",702.00
"DS10",32554,"DS10032554201008110038","08-11-2010","YAK",74120,"weathervane scallop",864.00
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",402,"Bathyraja sp. egg case",1
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",421,"big skate egg case",1
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",440,"longnose skate",4
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",441,"longnose skate egg case",1
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",10110,"arrowtooth flounder",4
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",10130,"flathead sole",2
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",10170,"English sole",8
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",10180,"Dover sole",4
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",10200,"rex sole",2
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",43000,"sea anemone unident.",15
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",50192,"bristle worm",1
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",69090,"Alaskan hermit crab",1
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",74120,"weathervane scallop",426.33
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",75016,"milky venus",1
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",75385,"Pandora sp.",1
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",80160,"sunflower sea star",25
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",80810,"leafy flat star",5
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",83320,"notched brittlestar",1
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",99993,"empty bivalve shells",21
"DS10",32554,"DS10032554201008110041","08-11-2010","YAK",99999,"Debris - natural",15
"DS10",32554,"DS10032554201008110043","08-11-2010","YAK",74120,"weathervane scallop",644.67
"DS10",32554,"DS10032554201008110045","08-11-2010","YAK",74120,"weathervane scallop",711.67
"DS10",32554,"DS10032554201008120058","08-12-2010","YAK",74120,"weathervane scallop",527.00
"DS10",32554,"DS10032554201008120060","08-12-2010","YAK",74120,"weathervane scallop",595.00
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",310,"spiny dogfish shark",4
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",402,"Bathyraja sp. egg case",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",420,"big skate",9
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",471,"Alaska skate",5
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",10110,"arrowtooth flounder",4
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",10130,"flathead sole",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",10170,"English sole",3
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",10180,"Dover sole",4
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",10200,"rex sole",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",24191,"shortfin eelpout",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",42008,"Halipteris sp.",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",43000,"sea anemone unident.",5
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",50000,"polychaete worm unident.",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",50192,"bristle worm",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",66000,"shrimp unident.",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",68560,"Tanner crab",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",68578,"Pacific lyre crab",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",69090,"Alaskan hermit crab",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",69095,"longfinger hermit crab",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",71511,"moonsnail eggs unid.",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",71580,"pale moonsnail",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",74050,"mussel unident.",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",74120,"weathervane scallop",755.00
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",74980,"Clinocardium sp.",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",75016,"milky venus",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",80160,"sunflower sea star",75
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",80710,"vermilion sea star",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",80810,"leafy flat star",5
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",83320,"notched brittlestar",10
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",99993,"empty bivalve shells",15
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",99994,"empty gastropod shells",1
"DS10",32554,"DS10032554201008120063","08-12-2010","YAK",99999,"Debris - natural",2
"DS10",32554,"DS10032554201008120065","08-12-2010","YAK",74120,"weathervane scallop",769.00
"DS10",32554,"DS10032554201008120069","08-12-2010","YAK",74120,"weathervane scallop",804.67
"DS10",32554,"DS10032554201008130083","08-13-2010","YAK",74120,"weathervane scallop",629.00
"DS10",32554,"DS10032554201008130085","08-13-2010","YAK",74120,"weathervane scallop",774.00
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",402,"Bathyraja sp. egg case",5
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",420,"big skate",5
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",471,"Alaska skate",15
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",10110,"arrowtooth flounder",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",10180,"Dover sole",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",10200,"rex sole",3
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",23850,"whitebarred prickleback",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",42008,"Halipteris sp.",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",43000,"sea anemone unident.",5
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",65100,"barnacle unident.",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",66000,"shrimp unident.",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",68040,"pygmy cancer crab",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",68510,"graceful decorator crab",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",68560,"Tanner crab",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",68578,"Pacific lyre crab",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",71511,"moonsnail eggs unid.",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",71580,"pale moonsnail",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",71777,"Beringius sp. eggs",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",74050,"mussel unident.",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",74104,"Chlamys sp.",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",74120,"weathervane scallop",490.00
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",75016,"milky venus",1
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",80160,"sunflower sea star",40
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",80810,"leafy flat star",5
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",83320,"notched brittlestar",3
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",99993,"empty bivalve shells",20
"DS10",32554,"DS10032554201008130088","08-13-2010","YAK",99999,"Debris - natural",15
"DS10",32554,"DS10032554201008130091","08-13-2010","YAK",74120,"weathervane scallop",574.00
"DS10",32554,"DS10032554201008130093","08-13-2010","YAK",74120,"weathervane scallop",484.00
"DS10",32554,"DS10032554201008140105","08-14-2010","YAK",74120,"weathervane scallop",751.00
"DS10",32554,"DS10032554201008140108","08-14-2010","YAK",74120,"weathervane scallop",1017.33
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",10110,"arrowtooth flounder",2
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",10130,"flathead sole",2
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",10170,"English sole",8
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",10180,"Dover sole",19
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",23850,"whitebarred prickleback",1
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",42008,"Halipteris sp.",1
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",43000,"sea anemone unident.",5
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",71511,"moonsnail eggs unid.",1
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",72500,"hairy triton (or Oregon triton)",2
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",74120,"weathervane scallop",606.00
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",74980,"Clinocardium sp.",1
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",75016,"milky venus",1
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",80160,"sunflower sea star",50
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",80810,"leafy flat star",10
"DS10",32554,"DS10032554201008140110","08-14-2010","YAK",83320,"notched brittlestar",2
