Fishery,ADFG,Haul_ID,Set_Date,District,RACE_Code,Species_Name,Weight(lbs)
"DS15",40924,"DS15040924201508130012","08-13-2015","YAK",74120,"weathervane scallop",167.00
"DS15",40924,"DS15040924201508130014","08-13-2015","YAK",74120,"weathervane scallop",157.00
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",402,"Bathyraja sp. egg case",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",435,"Bering skate",6
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",441,"longnose skate egg case",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",10180,"Dover sole",2
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",42008,"Halipteris sp.",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",50192,"bristle worm",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",66580,"Arctic argid",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",68560,"Tanner crab",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",71003,"Fusitriton oregonensis eggs",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",71004,"Neptunea sp. eggs",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",72500,"hairy triton (or Oregon triton)",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",74120,"weathervane scallop",395.67
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",80160,"sunflower sea star",13
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",80660,"scarlet sea star",2
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",80710,"vermilion sea star",2
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",81780,"common mud star",1
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",83020,"basket star",48
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",83320,"notched brittlestar",4
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",99993,"empty bivalve shells",18
"DS15",40924,"DS15040924201508130017","08-13-2015","YAK",99999,"Debris - natural",23
"DS15",40924,"DS15040924201508130020","08-13-2015","YAK",74120,"weathervane scallop",449.67
"DS15",40924,"DS15040924201508130023","08-13-2015","YAK",74120,"weathervane scallop",361.00
"DS15",40924,"DS15040924201508140034","08-14-2015","YAK",74120,"weathervane scallop",382.67
"DS15",40924,"DS15040924201508140037","08-14-2015","YAK",74120,"weathervane scallop",323.00
"DS15",40924,"DS15040924201508140039","08-14-2015","YAK",74120,"weathervane scallop",103.00
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",0,"Debris - man-made",2
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",402,"Bathyraja sp. egg case",2
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",435,"Bering skate",5
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",472,"Aleutian skate",3
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",10110,"arrowtooth flounder",2
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",10170,"English sole",4
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",10180,"Dover sole",59
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",10200,"rex sole",9
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",21740,"walleye pollock",5
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",23850,"whitebarred prickleback",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",50192,"bristle worm",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",66031,"pink shrimp (or northern shrimp)",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",68510,"graceful decorator crab",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",68560,"Tanner crab",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",68578,"Pacific lyre crab",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",69060,"Aleutian hermit crab",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",69070,"knobbyhand hermit crab",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",69090,"Alaskan hermit crab",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",69095,"longfinger hermit crab",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",71004,"Neptunea sp. eggs",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",74120,"weathervane scallop",502.67
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",80106,"redbanded sea star",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",80160,"sunflower sea star",15
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",80810,"leafy flat star",18
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",83020,"basket star",2
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",83320,"notched brittlestar",2
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",99993,"empty bivalve shells",29
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",99994,"empty gastropod shells",1
"DS15",40924,"DS15040924201508140041","08-14-2015","YAK",99999,"Debris - natural",12
"DS15",40924,"DS15040924201508140043","08-14-2015","YAK",74120,"weathervane scallop",867.00
"DS15",40924,"DS15040924201508150053","08-15-2015","YAK",74120,"weathervane scallop",796.33
"DS15",40924,"DS15040924201508150055","08-15-2015","YAK",74120,"weathervane scallop",800.00
"DS15",40924,"DS15040924201508150058","08-15-2015","YAK",74120,"weathervane scallop",750.67
