ID,fishery,adfg,packetnum,set_date,haul,trip_id,haul_id,rcode,shell_num,shell_height,shell_damage,sex,gonad_cond,meat_cond,shell_retained,meat_weight,comments
1041,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,1,125,0,0,1,0,1,23,
1042,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,2,131,0,0,1,0,1,24,
1043,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,3,153,0,0,1,0,1,14,
1044,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,4,134,0,1,2,0,1,21,
1045,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,5,127,0,0,1,0,1,23,
1046,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,6,142,0,1,2,0,1,19,
1047,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,7,132,0,1,2,0,1,24,
1048,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,8,121,0,0,1,1,1,22,
1049,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,9,138,0,0,1,0,1,21,
1050,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,10,143,0,0,1,0,1,19,
1051,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,11,145,0,,,,,,
1052,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,12,135,0,,,,,,
1053,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,13,124,1,,,,,,
1054,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,14,136,0,,,,,,
1055,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,15,141,0,,,,,,
1056,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,16,136,0,,,,,,
1057,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,17,,1,,,,,,
1058,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,18,137,0,,,,,,
1059,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,19,127,0,,,,,,
1060,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,20,140,0,,,,,,
1061,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,21,149,0,,,,,,
1062,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,22,136,0,,,,,,
1063,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,23,142,0,,,,,,
1064,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,24,147,0,,,,,,
1065,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,25,147,0,,,,,,
1066,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,26,139,0,,,,,,
1067,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,27,123,0,,,,,,
1068,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,28,138,0,,,,,,
1069,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,29,128,1,,,,,,
1070,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,30,133,0,,,,,,
1071,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,31,141,0,,,,,,
1072,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,32,132,0,,,,,,
1073,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,33,132,0,,,,,,
1074,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,34,139,0,,,,,,
1075,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,35,149,0,,,,,,
1076,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,36,132,0,,,,,,
1077,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,37,146,0,,,,,,
1078,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,38,146,0,,,,,,
1079,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,39,139,0,,,,,,
1080,DS18,40924,5940,8/23/2018,34,DS18040924005940,DS18040924201808230034,74120,40,136,0,,,,,,
641,DS18,40924,5940,8/25/2018,79,DS18040924005940,DS18040924201808250079,74120,1,136,0,0,1,0,1,22,
642,DS18,40924,5940,8/25/2018,79,DS18040924005940,DS18040924201808250079,74120,2,129,0,0,1,0,1,21,
643,DS18,40924,5940,8/25/2018,79,DS18040924005940,DS18040924201808250079,74120,3,133,0,0,1,0,1,22,
