Fishery,District,Trip_ID,ADFG,Prod_Date,Cases_Packed,Meat_Weight
"DS14","YAK","DS14040924003996",40924,"08-07-2014",8,240
"DS14","YAK","DS14040924003996",40924,"08-08-2014",22,660
"DS14","YAK","DS14040924003996",40924,"08-09-2014",29,870
"DS14","YAK","DS14040924003996",40924,"08-10-2014",44,1320
"DS14","YAK","DS14040924003996",40924,"08-11-2014",38,1140
"DS14","YAK","DS14040924003996",40924,"08-12-2014",49,1470
"DS14","YAK","DS14040924003996",40924,"08-13-2014",27,810
"DS14","YAK","DS14040924003996",40924,"08-14-2014",30,900
"DS14","YAK","DS14040924003996",40924,"08-15-2014",38,1140
"DS14","YAK","DS14040924003996",40924,"08-16-2014",24,720
"DS14","YAK","DS14040924003996",40924,"08-17-2014",10,300
"DS14","YAK","DS14040924003996",40924,"08-18-2014",57,1710
"DS14","YAK","DS14040924003996",40924,"08-19-2014",67,2010
"DS14","YAK","DS14040924003996",40924,"08-20-2014",64,1920
"DS14","YAK","DS14040924003996",40924,"08-21-2014",67,2010
"DS14","YAK","DS14040924003996",40924,"08-22-2014",63,1890
"DS14","YAK","DS14040924003996",40924,"08-23-2014",65,1950
"DS14","YAK","DS14040924003996",40924,"08-24-2014",62,1860
"DS14","YAK","DS14040924003996",40924,"08-25-2014",53,1590
"DS14","YAK","DS14040924003996",40924,"08-26-2014",52,1560
"DS14","YAK","DS14040924003996",40924,"08-27-2014",52,1560
"DS14","YAK","DS14040924003996",40924,"08-28-2014",40,1200
"DS14","YAK","DS14040924003996",40924,"08-29-2014",55,1650
"DS14","YAK","DS14040924003996",40924,"08-30-2014",57,1710
"DS14","YAK","DS14040924003996",40924,"08-31-2014",54,1620
"DS14","YAK","DS14040924003996",40924,"09-01-2014",57,1710
"DS14","YAK","DS14040924003996",40924,"09-02-2014",74,2220
"DS14","D16","DS14040924003996",40924,"09-04-2014",21,630
"DS14","D16","DS14040924003996",40924,"09-05-2014",26,780
"DS14","D16","DS14040924003996",40924,"09-06-2014",15,450
"DS14","D16","DS14040924003996",40924,"09-07-2014",3,105
"DS14","D16","DS14040924003996",40924,"09-11-2014",10,335
"DS14","D16","DS14040924003996",40924,"09-12-2014",31,930
"DS14","D16","DS14040924003996",40924,"09-13-2014",33,990
"DS14","D16","DS14040924003996",40924,"09-14-2014",22,660
"DS14","D16","DS14040924003996",40924,"09-15-2014",31,930
"DS14","D16","DS14040924003996",40924,"09-16-2014",28,840
"DS14","D16","DS14040924003996",40924,"09-17-2014",24,720
"DS14","YAK","DS14040924003996",40924,"09-17-2014",8,240
"DS14","YAK","DS14040924003996",40924,"09-18-2014",47,1410
"DS14","YAK","DS14040924003996",40924,"09-19-2014",57,1710
"DS14","YAK","DS14040924003996",40924,"09-20-2014",52,1560
"DS14","YAK","DS14040924003996",40924,"09-21-2014",57,1720
"DS14","YAK","DS14040924003996",40924,"09-23-2014",38,1140
"DS14","YAK","DS14040924003996",40924,"09-24-2014",54,1620
"DS14","YAK","DS14040924003996",40924,"09-25-2014",21,635
"DS14","YAK","DS14040924003996",40924,"09-26-2014",39,1170
"DS14","YAK","DS14040924003996",40924,"09-27-2014",57,1710
"DS14","YAK","DS14040924003996",40924,"09-28-2014",55,1650
"DS14","YAK","DS14040924003996",40924,"09-29-2014",66,1980
"DS14","YAK","DS14040924003996",40924,"09-30-2014",64,1920
"DS14","YAK","DS14040924003996",40924,"10-01-2014",55,1650
"DS14","YAK","DS14040924003996",40924,"10-02-2014",52,1560
"DS14","YAK","DS14040924003996",40924,"10-03-2014",30,900
"DS14","YAK","DS14040924003996",40924,"10-04-2014",15,450
"DS14","YAK","DS14054966003997",54966,"08-18-2014",7,321
"DS14","YAK","DS14054966003997",54966,"08-19-2014",17,780
"DS14","YAK","DS14054966003997",54966,"08-20-2014",14,642
"DS14","YAK","DS14054966003997",54966,"08-21-2014",16,734
"DS14","YAK","DS14054966003997",54966,"08-22-2014",17,780
"DS14","YAK","DS14054966003997",54966,"08-23-2014",17,780
"DS14","YAK","DS14054966003997",54966,"08-24-2014",9,423
"DS14","YAK","DS14054966003997",54966,"08-30-2014",6,275
"DS14","YAK","DS14054966003997",54966,"08-31-2014",14,641
"DS14","YAK","DS14054966003997",54966,"09-01-2014",13,595
"DS14","YAK","DS14054966003997",54966,"09-02-2014",12,549
"DS14","YAK","DS14054966003997",54966,"09-03-2014",14,641
"DS14","YAK","DS14054966003997",54966,"09-04-2014",11,508
"DS14","YAK","DS14054966003997",54966,"09-07-2014",1,46
"DS14","YAK","DS14054966003997",54966,"09-08-2014",14,642
"DS14","YAK","DS14054966003997",54966,"09-09-2014",14,668
"DS14","YAK","DS14054966003997",54966,"09-22-2014",6,324
"DS14","YAK","DS14054966003997",54966,"09-23-2014",12,648
"DS14","YAK","DS14054966003997",54966,"09-24-2014",14,756
"DS14","YAK","DS14054966003997",54966,"09-25-2014",8,432
"DS14","YAK","DS14054966003997",54966,"09-26-2014",12,648
"DS14","YAK","DS14054966003997",54966,"09-28-2014",5,270
"DS14","YAK","DS14054966003997",54966,"09-29-2014",10,540
"DS14","YAK","DS14054966003997",54966,"09-30-2014",8,432
"DS14","YAK","DS14054966003997",54966,"10-01-2014",8,463
"DS14","YAK","DS14058200003999",58200,"08-27-2014",6,180
"DS14","YAK","DS14058200003999",58200,"08-28-2014",40,1200
"DS14","D16","DS14058200003999",58200,"09-07-2014",4,120
"DS14","D16","DS14058200003999",58200,"09-08-2014",36,1080
"DS14","D16","DS14058200003999",58200,"09-09-2014",19,570
"DS14","YAK","DS14058200003999",58200,"09-09-2014",17,510
"DS14","YAK","DS14058200003999",58200,"09-10-2014",54,1620
"DS14","YAK","DS14058200003999",58200,"09-11-2014",69,2070
"DS14","YAK","DS14058200003999",58200,"09-12-2014",77,2310
"DS14","YAK","DS14058200003999",58200,"09-13-2014",50,1500
"DS14","YAK","DS14058200003999",58200,"09-14-2014",74,2220
"DS14","YAK","DS14058200003999",58200,"09-15-2014",66,1980
"DS14","YAK","DS14058200003999",58200,"09-16-2014",66,1980
"DS14","YAK","DS14058200003999",58200,"09-17-2014",65,1950
"DS14","YAK","DS14058200003999",58200,"09-18-2014",65,1950
"DS14","YAK","DS14058200003999",58200,"09-19-2014",38,1140
